BERTEC_ForceData
HEADER_LENGTH,1
N_OF_SAMPLES,25206
DATA_STARTS
Time (s),AUX,SYNC,1:FX,1:FY,1:FZ,1:MX,1:MY,1:MZ,1:COPX,1:COPY,1:COGX,1:COGY,1:SWAYANGLE,2:FX,2:FY,2:FZ,2:MX,2:MY,2:MZ,2:COPX,2:COPY,2:COGX,2:COGY,2:SWAYANGLE
8424.816,0,255,1.98223,-2.92419,567.599,484.394,173.151,-0.269161,-0.305059,0.853409,-0.310265,0.860936,0,0.156525,0.00494385,0.18457,-0.0380859,-0.000915527,-0.0157471,0,0,0,0,0
8424.817,0,255,1.98223,-3.53455,567.599,484.638,173.274,-0.0250187,-0.305275,0.853839,-0.310259,0.860923,0,0.00393677,0.157532,-0.120605,-0.0380859,-0.000915527,0.106323,0,0,0,0,0
8424.818,0,255,2.13482,-4.29749,568.209,485.859,173.518,0.219123,-0.305376,0.85507,-0.310252,0.86091,0,0.00393677,0.157532,0.18457,0.206055,-0.122986,0.106323,0,0,0,0,0
8424.819,0,255,2.2874,-5.06043,568.515,486.835,173.518,0.341194,-0.305212,0.856329,-0.310246,0.860897,0,0.00393677,0.157532,0.489746,0.450195,-0.122986,-0.0157471,0,0,0,0,0
8424.820,0,255,2.2874,-5.36561,568.82,487.324,173.518,0.341194,-0.305049,0.856728,-0.310239,0.860884,0,0.00393677,0.00494385,0.489746,0.450195,-0.122986,-0.0157471,0,0,0,0,0
8424.821,0,255,2.43999,-4.90784,568.515,486.835,173.274,0.0970521,-0.304783,0.856329,-0.310232,0.860871,0,0.00393677,0.157532,0.489746,0.450195,-0.122986,-0.0157471,0,0,0,0,0
8424.822,0,255,2.59258,-3.99231,567.904,485.859,173.151,-0.269161,-0.304896,0.855529,-0.310226,0.860858,0,0.00393677,0.00494385,-0.120605,0.206055,-0.000915527,-0.137817,0,0,0,0,0
8424.823,0,255,2.74517,-3.07678,567.294,484.638,173.151,-0.757444,-0.305224,0.854298,-0.310219,0.860845,0,0.00393677,0.00494385,-0.425781,-0.0380859,0.121155,-0.0157471,0,0,0,0,0
8424.824,0,255,2.89776,-2.31384,566.684,483.662,173.029,-1.24573,-0.305337,0.853495,-0.310212,0.860832,0,0.156525,0.157532,-0.120605,-0.0380859,-0.000915527,0.106323,0,0,0,0,0
8424.825,0,255,2.74517,-2.00866,566.684,483.662,173.029,-1.24573,-0.305337,0.853495,-0.310205,0.860819,0,0.156525,0.00494385,0.18457,0.206055,-0.000915527,0.106323,0,0,0,0,0
8424.826,0,255,2.59258,-2.31384,567.294,484.638,173.151,-1.12366,-0.305224,0.854298,-0.310198,0.860805,0,0.00393677,-0.300232,0.18457,0.450195,-0.000915527,-0.0157471,0,0,0,0,0
8424.827,0,255,2.43999,-2.46643,567.904,485.615,173.274,-0.879514,-0.30511,0.8551,-0.31019,0.860792,0,-0.148651,-0.147644,0.18457,0.450195,-0.122986,-0.0157471,0,0,0,0,0
8424.828,0,255,2.2874,-3.07678,567.904,486.103,173.151,-0.391231,-0.304896,0.855959,-0.310183,0.860778,0,-0.148651,0.00494385,0.18457,0.450195,-0.122986,0.106323,0,0,0,0,0
8424.829,0,255,2.13482,-3.99231,567.904,486.347,173.274,-0.0250187,-0.30511,0.856389,-0.310176,0.860765,0,-0.148651,-0.147644,-0.120605,0.206055,-0.000915527,-0.0157471,0,0,0,0,0
8424.830,0,255,2.13482,-4.90784,567.599,486.347,173.151,0.341194,-0.305059,0.85685,-0.310168,0.860751,0,-0.148651,-0.147644,-0.120605,0.206055,-0.000915527,-0.0157471,0,0,0,0,0
8424.831,0,255,2.13482,-5.5182,567.294,486.103,173.151,0.585335,-0.305224,0.85688,-0.310161,0.860737,0,-0.301239,-0.147644,-0.120605,0.450195,-0.000915527,-0.0157471,0,0,0,0,0
8424.832,0,255,2.2874,-5.82337,566.989,485.371,173.151,0.585335,-0.305388,0.85605,-0.310153,0.860724,0,-0.301239,-0.147644,0.18457,0.206055,-0.122986,-0.0157471,0,0,0,0,0
8424.833,0,255,2.43999,-5.36561,566.989,484.882,173.151,0.463264,-0.305388,0.855189,-0.310145,0.86071,0,-0.148651,-0.147644,0.18457,0.206055,-0.122986,-0.0157471,0,0,0,0,0
8424.834,0,255,2.59258,-4.60266,566.684,484.638,173.029,0.219123,-0.305337,0.855218,-0.310137,0.860696,0,0.156525,0.00494385,0.18457,0.206055,-0.000915527,-0.0157471,0,0,0,0,0
8424.835,0,255,2.74517,-3.53455,566.989,484.638,173.029,-0.391231,-0.305173,0.854758,-0.310129,0.860683,0,0.156525,0.00494385,-0.120605,-0.0380859,-0.000915527,-0.0157471,0,0,0,0,0
8424.836,0,255,3.05035,-2.7716,567.599,485.126,173.151,-1.00159,-0.305059,0.854699,-0.310121,0.860669,0,0.156525,0.00494385,-0.120605,-0.0380859,-0.000915527,-0.0157471,0,0,0,0,0
8424.837,0,255,3.05035,-2.31384,568.209,485.859,173.396,-1.61194,-0.305161,0.85507,-0.310113,0.860655,0,0.309113,0.00494385,-0.120605,-0.0380859,-0.000915527,-0.137817,0,0,0,0,0
8424.838,0,255,3.05035,-2.00866,568.82,486.835,173.64,-1.85608,-0.305263,0.855869,-0.310105,0.860641,0,0.156525,0.00494385,-0.120605,-0.0380859,-0.000915527,-0.0157471,0,0,0,0,0
8424.839,0,255,2.89776,-2.31384,568.82,486.835,173.762,-1.48987,-0.305478,0.855869,-0.310097,0.860627,0,0.156525,0.00494385,0.18457,0.206055,-0.000915527,-0.0157471,0,0,0,0,0
8424.840,0,255,2.43999,-3.07678,568.515,486.347,173.64,-1.00159,-0.305427,0.85547,-0.310089,0.860613,0,0.156525,-0.147644,0.18457,0.206055,-0.000915527,-0.137817,0,0,0,0,0
8424.841,0,255,1.98223,-4.29749,568.209,486.103,173.274,-0.269161,-0.304947,0.8555,-0.31008,0.860599,0,-0.148651,-0.147644,0.18457,-0.0380859,-0.000915527,0.106323,0,0,0,0,0
8424.842,0,255,1.82964,-5.36561,567.904,485.859,173.151,0.341194,-0.304896,0.855529,-0.310072,0.860585,0,-0.148651,0.00494385,0.18457,-0.0380859,-0.122986,0.106323,0,0,0,0,0
8424.843,0,255,1.98223,-6.12855,568.209,486.103,173.151,0.707406,-0.304732,0.8555,-0.310063,0.860571,0,0.00393677,0.00494385,-0.120605,-0.0380859,-0.000915527,-0.0157471,0,0,0,0,0
8424.844,0,255,2.2874,-6.28114,568.209,486.591,173.396,0.707406,-0.305161,0.856359,-0.310055,0.860557,0,-0.148651,-0.147644,-0.120605,-0.0380859,-0.000915527,-0.0157471,0,0,0,0,0
8424.845,0,255,2.59258,-5.97596,569.125,487.08,173.64,0.585335,-0.3051,0.855839,-0.310046,0.860542,0,-0.148651,-0.147644,-0.425781,0.206055,0.121155,-0.0157471,0,0,0,0,0
8424.846,0,255,2.89776,-5.36561,570.041,487.812,173.884,0.219123,-0.305038,0.85575,-0.310037,0.860528,0,0.00393677,-0.300232,-0.730957,-0.282227,0.243225,-0.137817,0,0,0,0,0
8424.847,0,255,2.89776,-4.60266,570.651,488.3,174.006,-0.147089,-0.304925,0.85569,-0.310028,0.860514,0,0.00393677,-0.147644,-0.730957,-0.282227,0.121155,-0.0157471,0,0,0,0,0
8424.848,0,255,2.89776,-3.68713,571.261,488.544,174.128,-0.513302,-0.304813,0.855203,-0.310019,0.8605,0,0.00393677,0.157532,-0.120605,-0.0380859,-0.000915527,0.106323,0,0,0,0,0
8424.849,0,255,2.89776,-2.7716,571.872,488.789,174.25,-0.757444,-0.304701,0.854717,-0.31001,0.860485,0,0.156525,0.31012,-0.120605,-0.282227,-0.000915527,0.228394,0,0,0,0,0
8424.850,0,255,2.89776,-2.31384,571.872,488.544,174.25,-1.12366,-0.304701,0.85429,-0.310001,0.860471,0,0.00393677,0.00494385,-0.120605,-0.0380859,-0.000915527,0.106323,0,0,0,0,0
8424.851,0,255,2.89776,-2.46643,571.566,488.3,174.25,-1.12366,-0.304864,0.854319,-0.309992,0.860457,0,-0.148651,-0.147644,0.489746,0.450195,-0.122986,-0.0157471,0,0,0,0,0
8424.852,0,255,2.59258,-3.07678,571.566,488.544,174.25,-0.757444,-0.304864,0.854747,-0.309983,0.860442,0,-0.148651,0.00494385,0.489746,0.450195,-0.122986,0.106323,0,0,0,0,0
8424.853,0,255,2.2874,-3.99231,571.872,489.277,174.372,-0.513302,-0.304915,0.855571,-0.309973,0.860428,0,-0.148651,-0.147644,0.18457,-0.0380859,-0.122986,0.106323,0,0,0,0,0
8424.854,0,255,1.82964,-5.06043,572.177,489.765,174.25,-0.0250187,-0.304539,0.855968,-0.309964,0.860413,0,0.00393677,0.00494385,0.18457,0.206055,-0.122986,-0.0157471,0,0,0,0,0
8424.855,0,255,1.67705,-5.82337,572.787,490.742,174.372,0.463264,-0.304428,0.856761,-0.309955,0.860398,0,0.00393677,0.157532,0.18457,0.206055,-0.122986,-0.0157471,0,0,0,0,0
8424.856,0,255,1.82964,-6.12855,573.703,491.23,174.494,0.707406,-0.304155,0.856245,-0.309945,0.860384,0,0.00393677,0.31012,-0.120605,-0.0380859,-0.000915527,0.106323,0,0,0,0,0
8424.857,0,255,2.13482,-6.12855,574.618,491.718,174.738,0.585335,-0.304095,0.85573,-0.309935,0.860369,0,0.00393677,0.157532,-0.120605,-0.0380859,-0.000915527,0.106323,0,0,0,0,0
8424.858,0,255,2.59258,-5.5182,574.923,491.474,175.105,0.219123,-0.30457,0.854852,-0.309926,0.860355,0,0.00393677,-0.147644,0.18457,0.450195,0.121155,-0.137817,0,0,0,0,0
8424.859,0,255,2.89776,-4.75525,574.618,490.986,175.227,-0.0250187,-0.304945,0.854456,-0.309916,0.86034,0,0.00393677,-0.147644,0.18457,0.450195,-0.000915527,-0.0157471,0,0,0,0,0
8424.860,0,255,2.89776,-3.99231,574.618,490.253,175.227,-0.269161,-0.304945,0.853181,-0.309906,0.860325,0,0.00393677,0.157532,0.18457,-0.0380859,-0.122986,0.228394,0,0,0,0,0
8424.861,0,255,2.59258,-3.22937,574.923,490.498,175.105,-0.391231,-0.30457,0.853153,-0.309896,0.86031,0,0.00393677,0.00494385,0.18457,-0.0380859,-0.000915527,0.106323,0,0,0,0,0
8424.862,0,255,2.13482,-2.92419,575.534,491.23,175.227,-0.391231,-0.304459,0.853521,-0.309886,0.860296,0,0.156525,0.157532,-0.120605,-0.282227,-0.000915527,-0.0157471,0,0,0,0,0
8424.863,0,255,1.82964,-3.38196,575.839,492.451,175.227,-0.147089,-0.304298,0.855188,-0.309876,0.860281,0,0.156525,0.462708,-0.120605,-0.0380859,-0.000915527,0.106323,0,0,0,0,0
8424.864,0,255,1.82964,-4.1449,576.144,492.939,175.349,0.0970521,-0.304349,0.855583,-0.309865,0.860266,0,0.156525,0.31012,0.18457,0.206055,-0.000915527,0.106323,0,0,0,0,0
8424.865,0,255,1.82964,-4.90784,576.449,493.427,175.349,0.219123,-0.304188,0.855977,-0.309855,0.860251,0,0.156525,0.157532,-0.120605,0.450195,0.121155,-0.0157471,0,0,0,0,0
8424.866,0,255,1.52446,-5.67078,576.754,494.16,175.471,0.463264,-0.304238,0.856794,-0.309845,0.860236,0,0.00393677,0.157532,0.18457,0.694336,-0.000915527,-0.0157471,0,0,0,0,0
8424.867,0,255,1.52446,-5.97596,576.754,493.671,175.471,0.707406,-0.304238,0.855947,-0.309834,0.860221,0,0.00393677,0.31012,0.18457,0.450195,-0.122986,-0.0157471,0,0,0,0,0
8424.868,0,255,1.52446,-6.28114,576.754,493.183,175.471,0.829477,-0.304238,0.855101,-0.309824,0.860205,0,0.00393677,0.00494385,-0.120605,0.206055,-0.000915527,-0.0157471,0,0,0,0,0
8424.869,0,255,1.52446,-6.43373,577.06,493.183,175.471,0.951548,-0.304077,0.854649,-0.309813,0.86019,0,0.00393677,0.00494385,0.18457,0.450195,-0.122986,-0.0157471,0,0,0,0,0
8424.870,0,255,1.67705,-5.97596,577.365,493.427,175.593,0.829477,-0.304128,0.85462,-0.309802,0.860175,0,0.00393677,0.157532,0.18457,0.450195,-0.122986,-0.0157471,0,0,0,0,0
8424.871,0,255,1.98223,-5.36561,577.975,493.671,175.837,0.585335,-0.304229,0.85414,-0.309792,0.86016,0,0.00393677,0.157532,-0.120605,0.206055,0.121155,-0.0157471,0,0,0,0,0
8424.872,0,255,2.13482,-4.75525,577.975,493.916,175.837,0.341194,-0.304229,0.854562,-0.309781,0.860145,0,0.00393677,0.157532,-0.120605,-0.282227,-0.000915527,-0.0157471,0,0,0,0,0
8424.873,0,255,2.13482,-4.45008,578.28,494.648,175.959,0.219123,-0.30428,0.855378,-0.30977,0.86013,0,0.00393677,0.157532,-0.120605,-0.282227,-0.000915527,0.228394,0,0,0,0,0
8424.874,0,255,1.82964,-4.1449,578.891,495.38,176.081,0.0970521,-0.30417,0.855741,-0.309759,0.860114,0,0.156525,0.00494385,0.18457,-0.0380859,-0.122986,0.106323,0,0,0,0,0
8424.875,0,255,1.52446,-4.1449,578.891,495.625,176.081,0.341194,-0.30417,0.856163,-0.309748,0.860099,0,0.00393677,-0.147644,-0.120605,-0.0380859,-0.122986,-0.0157471,0,0,0,0,0
8424.876,0,255,1.0667,-4.29749,578.585,495.38,175.837,0.707406,-0.303908,0.856192,-0.309737,0.860084,0,0.00393677,-0.147644,-0.730957,-0.282227,-0.000915527,-0.0157471,0,0,0,0,0
8424.877,0,255,0.60893,-4.60266,578.585,495.136,175.715,1.07362,-0.303698,0.85577,-0.309725,0.860069,0,0.00393677,-0.147644,-0.425781,-0.282227,0.121155,-0.0157471,0,0,0,0,0
8424.878,0,255,0.456342,-4.90784,577.975,494.404,175.593,1.19569,-0.303807,0.855407,-0.309714,0.860053,0,0.00393677,-0.147644,-0.120605,-0.0380859,-0.000915527,-0.0157471,0,0,0,0,0
8424.879,0,255,0.60893,-5.36561,578.28,494.648,175.593,1.19569,-0.303647,0.855378,-0.309703,0.860038,0,0.156525,0.00494385,-0.120605,0.206055,-0.122986,-0.0157471,0,0,0,0,0
8424.880,0,255,0.914107,-5.82337,579.196,495.136,176.081,1.07362,-0.30401,0.854869,-0.309691,0.860023,0,0.156525,0.157532,0.18457,-0.0380859,-0.122986,-0.137817,0,0,0,0,0
8424.881,0,255,1.21928,-5.97596,580.111,495.869,176.325,0.951548,-0.303951,0.854782,-0.30968,0.860007,0,0.156525,0.157532,-0.120605,-0.282227,-0.000915527,-0.137817,0,0,0,0,0
8424.882,0,255,1.21928,-5.97596,580.417,496.357,176.447,0.951548,-0.304001,0.855174,-0.309668,0.859992,0,0.00393677,0.00494385,0.18457,-0.282227,-0.122986,-0.0157471,0,0,0,0,0
8424.883,0,255,1.21928,-5.82337,580.417,496.845,176.325,1.07362,-0.303791,0.856015,-0.309656,0.859977,0,0.00393677,0.00494385,0.489746,-0.0380859,-0.122986,-0.0157471,0,0,0,0,0
8424.884,0,255,1.21928,-5.36561,580.111,496.357,176.203,0.951548,-0.30374,0.855624,-0.309644,0.859961,0,0.156525,0.00494385,0.18457,0.450195,-0.000915527,-0.137817,0,0,0,0,0
8424.885,0,255,1.21928,-4.75525,579.196,495.625,175.959,0.707406,-0.303799,0.855712,-0.309633,0.859946,0,0.156525,-0.147644,-0.120605,0.450195,0.121155,-0.137817,0,0,0,0,0
8424.886,0,255,1.21928,-4.29749,578.585,495.136,175.837,0.585335,-0.303908,0.85577,-0.309621,0.85993,0,0.156525,0.00494385,-0.120605,0.450195,0.121155,-0.0157471,0,0,0,0,0
8424.887,0,255,1.0667,-3.83972,578.28,494.404,175.715,0.707406,-0.303858,0.854956,-0.309609,0.859915,0,0.156525,0.00494385,0.18457,0.450195,-0.000915527,-0.0157471,0,0,0,0,0
8424.888,0,255,0.60893,-3.68713,577.975,494.404,175.593,0.951548,-0.303807,0.855407,-0.309597,0.8599,0,0.156525,0.00494385,-0.120605,0.206055,-0.122986,-0.0157471,0,0,0,0,0
8424.889,0,255,0.303753,-3.83972,578.28,494.404,175.593,1.31776,-0.303647,0.854956,-0.309584,0.859884,0,0.00393677,-0.147644,-0.425781,-0.282227,0.121155,-0.0157471,0,0,0,0,0
8424.890,0,255,-0.154012,-4.1449,578.891,495.38,175.715,1.5619,-0.303537,0.855741,-0.309572,0.859869,0,0.156525,0.00494385,-0.120605,-0.282227,0.121155,-0.137817,0,0,0,0,0
8424.891,0,255,-0.459189,-4.60266,579.806,496.601,175.959,1.92811,-0.303479,0.856495,-0.30956,0.859853,0,0.00393677,0.00494385,-0.120605,-0.282227,-0.000915527,-0.0157471,0,0,0,0,0
8424.892,0,255,-0.459189,-4.90784,580.111,496.845,176.081,2.05018,-0.30353,0.856465,-0.309547,0.859838,0,-0.148651,0.00494385,-0.120605,-0.0380859,-0.000915527,-0.0157471,0,0,0,0,0
8424.893,0,255,-0.154012,-5.06043,579.806,496.113,176.081,1.80604,-0.30369,0.855653,-0.309535,0.859822,0,-0.148651,-0.147644,-0.120605,0.206055,-0.000915527,-0.137817,0,0,0,0,0
8424.894,0,255,0.303753,-4.90784,579.196,495.38,175.959,1.43983,-0.303799,0.85529,-0.309522,0.859807,0,-0.148651,-0.147644,0.18457,0.450195,-0.000915527,-0.0157471,0,0,0,0,0
8424.895,0,255,0.60893,-4.75525,578.891,495.136,175.959,1.07362,-0.303959,0.855319,-0.30951,0.859791,0,-0.148651,0.00494385,-0.120605,0.450195,-0.000915527,0.228394,0,0,0,0,0
8424.896,0,255,0.60893,-4.45008,578.585,494.892,175.715,0.951548,-0.303698,0.855349,-0.309497,0.859776,0,-0.148651,0.00494385,-0.120605,-0.0380859,-0.000915527,0.228394,0,0,0,0,0
8424.897,0,255,0.456342,-4.29749,578.28,494.892,175.593,0.829477,-0.303647,0.8558,-0.309484,0.85976,0,-0.148651,0.00494385,-0.425781,-0.282227,-0.000915527,0.228394,0,0,0,0,0
8424.898,0,255,0.60893,-3.99231,578.28,495.38,175.471,0.707406,-0.303436,0.856644,-0.309471,0.859745,0,0.00393677,0.00494385,-0.425781,-0.526367,0.121155,0.228394,0,0,0,0,0
8424.899,0,255,0.761518,-3.38196,578.891,496.357,175.593,0.463264,-0.303327,0.857428,-0.309459,0.85973,0,0.00393677,0.00494385,-0.425781,-0.282227,0.121155,0.106323,0,0,0,0,0
8424.900,0,255,0.914107,-2.7716,578.891,496.601,175.715,0.0970521,-0.303537,0.85785,-0.309446,0.859714,0,0.00393677,0.157532,-0.425781,-0.282227,0.121155,-0.0157471,0,0,0,0,0
8424.901,0,255,1.0667,-2.46643,578.585,495.869,175.715,-0.0250187,-0.303698,0.857036,-0.309433,0.859699,0,0.156525,0.157532,-0.120605,-0.282227,-0.000915527,-0.0157471,0,0,0,0,0
8424.902,0,255,0.914107,-2.16125,578.28,494.892,175.593,0.0970521,-0.303647,0.8558,-0.309419,0.859684,0,0.156525,0.157532,0.18457,-0.0380859,-0.122986,-0.137817,0,0,0,0,0
8424.903,0,255,0.761518,-1.70348,577.975,494.16,175.471,0.0970521,-0.303596,0.854984,-0.309406,0.859668,0,0.00393677,0.00494385,0.18457,0.206055,-0.122986,-0.0157471,0,0,0,0,0
8424.904,0,255,0.456342,-1.5509,577.67,493.671,175.349,0.0970521,-0.303545,0.854591,-0.309393,0.859653,0,-0.148651,0.157532,0.18457,0.206055,-0.122986,0.228394,0,0,0,0,0
8424.905,0,255,0.456342,-1.85607,577.365,493.427,175.227,0.0970521,-0.303494,0.85462,-0.30938,0.859638,0,0.00393677,0.157532,-0.120605,-0.282227,-0.000915527,0.228394,0,0,0,0,0
8424.906,0,255,0.60893,-2.16125,577.365,493.916,175.227,-0.0250187,-0.303494,0.855465,-0.309366,0.859622,0,0.00393677,0.00494385,-0.425781,-0.0380859,0.121155,-0.0157471,0,0,0,0,0
8424.907,0,255,0.60893,-2.61901,577.06,494.16,175.105,-0.0250187,-0.303443,0.856341,-0.309353,0.859607,0,0.156525,-0.147644,-0.425781,-0.282227,0.243225,-0.259918,0,0,0,0,0
8424.908,0,255,1.21928,-2.7716,576.754,494.404,174.983,-0.513302,-0.303392,0.857217,-0.309339,0.859592,0,0.00393677,-0.147644,-0.425781,-0.0380859,0.121155,-0.137817,0,0,0,0,0
8424.909,0,255,1.67705,-2.61901,576.144,494.16,174.738,-1.12366,-0.303289,0.857702,-0.309326,0.859576,0,0.00393677,0.00494385,-0.120605,0.206055,-0.000915527,-0.137817,0,0,0,0,0
8424.910,0,255,2.13482,-2.31384,575.839,493.916,174.616,-1.48987,-0.303238,0.857732,-0.309312,0.859561,0,0.00393677,0.00494385,0.18457,0.206055,-0.122986,-0.0157471,0,0,0,0,0
8424.911,0,255,2.43999,-1.85607,575.229,493.183,174.372,-1.73401,-0.303136,0.857369,-0.309298,0.859546,0,0.00393677,0.157532,0.489746,0.450195,-0.122986,-0.0157471,0,0,0,0,0
8424.912,0,255,2.43999,-1.39831,574.923,492.451,174.25,-1.97815,-0.303084,0.85655,-0.309285,0.859531,0,0.00393677,0.157532,0.18457,0.206055,-0.122986,-0.0157471,0,0,0,0,0
8424.913,0,255,2.59258,-1.09313,574.618,491.962,174.25,-1.97815,-0.303245,0.856155,-0.309271,0.859516,0,0.00393677,0.00494385,-0.120605,-0.282227,-0.000915527,-0.137817,0,0,0,0,0
8424.914,0,255,2.43999,-1.09313,574.008,491.474,174.128,-1.73401,-0.303355,0.856215,-0.309257,0.859501,0,0.156525,0.00494385,-0.120605,-0.282227,0.121155,-0.259918,0,0,0,0,0
